Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ÇªÇÃëº,ïœçXïÒçêèë,ó’éûïÒçêèë,élîºä˙ïÒçêèë,óLâøèÿåîïÒçêèë
2023/11/10,2148.11748194095,2175.14080934564,2140.53198652911,2169.92578125,943700,0,0,,,,,
2023/11/13,2192.20799963779,2215.91267091415,2185.57069168041,2208.80126953125,1221800,0,0,,,,,
2023/11/14,2213.54226015177,2238.19511890694,2187.4671210838,2234.87646484375,1409600,0,0,,,,,
2023/11/15,2453.90753294966,2512.69511681476,2401.28316352203,2484.24951171875,3628600,0,0,2484.24951171875,,,2484.24951171875,
2023/11/16,2464.81167556291,2464.81167556291,2398.43859716729,2408.86865234375,1913100,0,0,,,,,
2023/11/17,2426.88417704054,2429.25464410153,2357.19244544746,2387.53442382812,1577300,0,0,,,,,
2023/11/20,2361.93348937067,2381.84541360864,2293.18994140625,2293.18994140625,1367400,0,0,,,,,
2023/11/21,2262.37400447903,2301.72376189139,2229.18746208307,2295.560546875,1632300,0,0,,,,,
2023/11/22,2278.0187801351,2362.88149847937,2272.80375275082,2352.92553710937,1023100,0,0,,,,,
2023/11/24,2362.88149847937,2392.27528919079,2350.55507011651,2352.92553710937,1297200,0,0,,,,,
2023/11/27,2359.08892250903,2371.41535176652,2346.76249325155,2360.037109375,866900,0,0,,,,,
2023/11/28,2365.25216791074,2367.14854166733,2307.41276833465,2314.52416992187,1812100,0,0,,,,,
2023/11/29,2275.64863929889,2331.1175748818,2254.78852677198,2312.6279296875,1377400,0,0,,,,,
2023/11/30,2299.35295274384,2327.32446289062,2293.66383203602,2327.32446289062,716100,0,0,,,,,
2023/12/01,2369.99299504952,2401.28316061729,2364.3038740372,2388.00854492187,1544000,0,0,,,,,
2023/12/04,2342.02151692708,2372.83758951822,2339.1769563802,2346.76245117187,1518400,0,0,,,,,
2023/12/05,2394.17181967177,2405.07596855344,2373.3117087677,2393.2236328125,1199600,0,0,,,,,
2023/12/06,2394.64588704427,2427.35833333333,2388.00857910156,2417.87646484375,959600,0,0,,,,,
2023/12/07,2407.44637095432,2412.66139854008,2326.37639666657,2337.75463867187,1513300,0,0,,,,,
2023/12/08,2274.70023410603,2292.24169068417,2232.03182621325,2237.72094726562,1421600,0,0,,,,,
2023/12/11,2269.01109410555,2295.0862320445,2260.00331918119,2291.767578125,855100,0,0,,,,,
2023/12/12,2337.28047236324,2358.61467545783,2322.10948349597,2344.86596679687,1277600,0,0,,,,,
2023/12/13,2370.46720543686,2379.9490742586,2317.84283347616,2323.05786132812,1203800,0,0,,,,,
2023/12/14,2276.12261317845,2296.98272460937,2242.93607226562,2251.94384765625,1318200,0,0,,,,,
2023/12/15,2263.79597334663,2280.38924226121,2224.44622134919,2235.82446289062,1139100,0,0,,,,,
2023/12/18,2218.75708007812,2231.08350830078,2200.26743774414,2218.75708007812,838900,0,0,,,,,
2023/12/19,2219.23135041739,2269.95934753225,2218.28316355543,2255.26245117187,779100,0,0,,,,,
2023/12/20,2258.10704421757,2278.01896860496,2255.2624835908,2260.00341796875,618500,0,0,,,,,
