Date,Close
2024/6/13,2210
2024/6/14,2256
2024/6/17,2180
2024/6/18,2185
2024/6/19,2196
2024/6/20,2194
2024/6/21,2180
2024/6/24,2190
2024/6/25,2192
2024/6/26,2135
2024/6/27,2134
2024/6/28,2108
2024/7/1,2087
2024/7/2,2087
2024/7/3,2050
2024/7/4,2052
2024/7/5,2028
2024/7/8,2007
2024/7/9,2003
2024/7/10,1979
2024/7/11,2007
2024/7/12,2031
2024/7/16,2113
2024/7/17,2179
2024/7/18,2125
2024/7/19,2139
2024/7/22,2125
2024/7/23,2107
2024/7/24,2086
2024/7/25,2027
2024/7/26,1997
2024/7/29,2095
2024/7/30,2350
2024/7/31,2383
2024/8/1,2462
2024/8/2,2324
2024/8/5,2100
2024/8/6,2224
2024/8/7,2217
2024/8/8,2221
2024/8/9,2221
2024/8/13,2272
2024/8/14,2239
2024/8/15,2234
2024/8/16,2325
2024/8/19,2290
2024/8/20,2346
2024/8/21,2282
2024/8/22,2271
2024/8/23,2267
2024/8/26,2292
2024/8/27,2337
2024/8/28,2284
2024/8/29,2256
2024/8/30,2273
2024/9/2,2250
2024/9/3,2354
2024/9/4,2285
2024/9/5,2307
2024/9/6,2240
2024/9/9,2207
2024/9/10,2203
2024/9/11,2167
2024/9/12,2227
2024/9/13,2200
2024/9/17,2214
2024/9/18,2249
2024/9/19,2258
2024/9/20,2300
2024/9/24,2280
2024/9/25,2275
2024/9/26,2300
2024/9/27,2289
2024/9/30,2199
2024/10/1,2189
2024/10/2,2126
2024/10/3,2123
2024/10/4,2106
2024/10/7,2144
2024/10/8,2110
2024/10/9,2110
